cleansing,CaseFolding
Aplikasi shopee aku kok gak bisa gunain gratis ongkir rupiah ya  yang banyak vocer nya malah shopee pay yang gratis ongkir rupiah nya aku gak pernah pakek shopee pay soal nya,aplikasi shopee aku kok gak bisa gunain gratis ongkir rupiah ya  yang banyak vocer nya malah shopee pay yang gratis ongkir rupiah nya aku gak pernah pakek shopee pay soal nya
Menyebalkan vocer penguna baru tidak bisa di pakek  katanya udh di pakek pdhl saya penguna baru terus yang pakek vocer saya siapa,menyebalkan vocer penguna baru tidak bisa di pakek  katanya udh di pakek pdhl saya penguna baru terus yang pakek vocer saya siapa
Saya sebagai penjual kecewa  penarikan saldo melalui bank lain selain bank tertentu lama lebih dari satu hari  padahal teknologi udah canggih  yang bermasalah bukan bank nya tapi sistem di shopeenya karena transfer ke bank manapun sekarang seharusnya REALTIME  tergantung shopeenya mau proses atau tidak,saya sebagai penjual kecewa  penarikan saldo melalui bank lain selain bank tertentu lama lebih dari satu hari  padahal teknologi udah canggih  yang bermasalah bukan bank nya tapi sistem di shopeenya karena transfer ke bank manapun sekarang seharusnya realtime  tergantung shopeenya mau proses atau tidak
Aplukasi apa sih ini disuruh buat nama uda gue tulis nama tapi katanya tidak tersedi aplikasi tolol mendingan kalian lebih baik nggak usa donwlod aja mendingan nggak usa ada di plastore [plis bapak plastore uinstal aja aplikasi ini],aplukasi apa sih ini disuruh buat nama uda gue tulis nama tapi katanya tidak tersedi aplikasi tolol mendingan kalian lebih baik nggak usa donwlod aja mendingan nggak usa ada di plastore [plis bapak plastore uinstal aja aplikasi ini]
Makin kesini Shoppe makin gak jelas  Apaan kabanyakan limit  Baru belanja kali udh kena limit harian limit mingguan,makin kesini shoppe makin gak jelas  apaan kabanyakan limit  baru belanja kali udh kena limit harian limit mingguan
Shopee sangat memgecewakan voucher jambore nya sering error padahal produk sudah memenuhi syarat apa lagi hey kecewa bet  katanya  rp terus mau check out malah voucher tidak sah aneh bet,shopee sangat memgecewakan voucher jambore nya sering error padahal produk sudah memenuhi syarat apa lagi hey kecewa bet  katanya  rp terus mau check out malah voucher tidak sah aneh bet
Aplikasi guna bisa ngakses nomor  padahal nomor aku masih aktif nomor sehari  aku pake  tapi di kirim  kode OTP  makassih sangat kecewa sma pihak Shoppy,aplikasi guna bisa ngakses nomor  padahal nomor aku masih aktif nomor sehari  aku pake  tapi di kirim  kode otp  makassih sangat kecewa sma pihak shoppy
Saya gamau ganti bintang kecuali shopee udah kayak dulu tau gak sih shopee makin pelit gratis ongkir seminggu cuman  kali woy kelen becanda dah gitu sekarang shopee ga bisa milih ekpedisi  saya pilih reguler biar cepat sampe saya bayar ongkir biar cepat sampe  malah dikasih kepedisi yg paling lama  permainan kelen ga cantik sayang  mentang  ekpedisi itu yg paling murah itu yg kelen kasih heh lawak shopee,saya gamau ganti bintang kecuali shopee udah kayak dulu tau gak sih shopee makin pelit gratis ongkir seminggu cuman  kali woy kelen becanda dah gitu sekarang shopee ga bisa milih ekpedisi  saya pilih reguler biar cepat sampe saya bayar ongkir biar cepat sampe  malah dikasih kepedisi yg paling lama  permainan kelen ga cantik sayang  mentang  ekpedisi itu yg paling murah itu yg kelen kasih heh lawak shopee
Sumpah shopee makin lama makin gila Karena Saya itu habis beli hp baru terus saya bikin akun gogel baru dan no hp baru saya daftar shopee untuk beli baju batik sama cela jeans untuk adik sya waktu saya cecaout maaf kode voucher ini telah di gunakan mohon pakai voucer lain lah sya kan bingung apa ini kok harus pakai ongkir sih padahal kan sya pengguna baru hadeh shopee shopee duit mulu pikiran lu Akhir nya terpaksa pakai ongkir Mahal lagi ongkirnya sekitarran  rb kimak kau shopee,sumpah shopee makin lama makin gila karena saya itu habis beli hp baru terus saya bikin akun gogel baru dan no hp baru saya daftar shopee untuk beli baju batik sama cela jeans untuk adik sya waktu saya cecaout maaf kode voucher ini telah di gunakan mohon pakai voucer lain lah sya kan bingung apa ini kok harus pakai ongkir sih padahal kan sya pengguna baru hadeh shopee shopee duit mulu pikiran lu akhir nya terpaksa pakai ongkir mahal lagi ongkirnya sekitarran  rb kimak kau shopee
Aplikasi penipu  bilangnya baru pertama kali download dapat saldo shopeepay ehh tau taunya gak ada DASAR APLIKASI PENIPU,aplikasi penipu  bilangnya baru pertama kali download dapat saldo shopeepay ehh tau taunya gak ada dasar aplikasi penipu
capee pake shopee lemot banget padahal apk lain ga lemot saya kira hp saya atau jaringannya yang lemot tp pas keluar dri shopee lancar banget kecewa tolong diperbaiki shopee ga seperti dlu lagi,capee pake shopee lemot banget padahal apk lain ga lemot saya kira hp saya atau jaringannya yang lemot tp pas keluar dri shopee lancar banget kecewa tolong diperbaiki shopee ga seperti dlu lagi
Apk nya sih baguuss tapi keamanan privasinya kurang barusan akun saya dihack  setelah itu diberi tahu kalo saya menang uang dan harus isi saldo sampe nelpon nelpon berapa kali emang di apknya ada pemberitahuan nya saya menang uang  jt tapi saldo saya malah kesedot samper akun saya logout sendiri,apk nya sih baguuss tapi keamanan privasinya kurang barusan akun saya dihack  setelah itu diberi tahu kalo saya menang uang dan harus isi saldo sampe nelpon nelpon berapa kali emang di apknya ada pemberitahuan nya saya menang uang  jt tapi saldo saya malah kesedot samper akun saya logout sendiri
SHOPPE TOLONG JELAS KAN KENAPA HARGA ONGKIR LUAR NEGERI LEBIIHH MURAH DARI ONGKIR DI INDONESIA ITU KENAPA,shoppe tolong jelas kan kenapa harga ongkir luar negeri lebiihh murah dari ongkir di indonesia itu kenapa
Saya hampir  th langganan dishope tapi kali ini kecewa Dg ongkir yg mahal dan pemilihan expedisi pengiriman yg ditentukan oleh shope Tolong berikan hak kami untuk memilih karena kami lebih tau yg kita butuhkan dan yg kita inginkan Jangan ambil keputusan yg memberatkan customer kalian,saya hampir  th langganan dishope tapi kali ini kecewa dg ongkir yg mahal dan pemilihan expedisi pengiriman yg ditentukan oleh shope tolong berikan hak kami untuk memilih karena kami lebih tau yg kita butuhkan dan yg kita inginkan jangan ambil keputusan yg memberatkan customer kalian
Setelah update ketika pembayaran lewat shopee pay malah ngeblank  katanya promo ongkir rupiah tp malah eror  sama aja boong  tipu tipu lo,setelah update ketika pembayaran lewat shopee pay malah ngeblank  katanya promo ongkir rupiah tp malah eror  sama aja boong  tipu tipu lo
Kenapa kode otp no hp untuk login atau untuk daftar shopee pay gk di kirim Ud berulang ulang aku coba tapi tetap sama mohon penjelasannya,kenapa kode otp no hp untuk login atau untuk daftar shopee pay gk di kirim ud berulang ulang aku coba tapi tetap sama mohon penjelasannya
Kenapa di sopy bayak dajal penipuan saya udh ketipu mau beli barang makah di batalin sama toko tau tau toko ajing  bilang punya toko mau antrian owngiriman tau minta otp saya  saya brtaya sama cd sopi bilang akun asli sopy tiba  dia membatal kn pesanan saya  uang balik ke saldo sopi tpi ad yng tramper rin ke buka warung onlwn  akun saya tdi penbeli beru bah jadi penyual di sopy bayk setan duit penipuan  sungguh saya ke cewa sma sopi tutup ajh apikasi sopi dari pada bayak korban,kenapa di sopy bayak dajal penipuan saya udh ketipu mau beli barang makah di batalin sama toko tau tau toko ajing  bilang punya toko mau antrian owngiriman tau minta otp saya  saya brtaya sama cd sopi bilang akun asli sopy tiba  dia membatal kn pesanan saya  uang balik ke saldo sopi tpi ad yng tramper rin ke buka warung onlwn  akun saya tdi penbeli beru bah jadi penyual di sopy bayk setan duit penipuan  sungguh saya ke cewa sma sopi tutup ajh apikasi sopi dari pada bayak korban
Payah  masa komplain tiap hari sebagai penjual agar gratis ongkirnya dibenerin ga ada tindakan  Padahal pendaftaran sukses  Ordean tiap hri jg ada,payah  masa komplain tiap hari sebagai penjual agar gratis ongkirnya dibenerin ga ada tindakan  padahal pendaftaran sukses  ordean tiap hri jg ada
Katanya pengguna baru bisa dapet voucher gratis ongkir  ehh voucher gk bisa di pake  Udah nyoba pake nomor tetep gak bisa,katanya pengguna baru bisa dapet voucher gratis ongkir  ehh voucher gk bisa di pake  udah nyoba pake nomor tetep gak bisa
