Formalisasi,Stopword Removal
"['aplikasi', 'shopee', 'aku', 'kok', 'tidak_bisa', 'gunain', 'gratis', 'ongkos kirim', 'rupiah', 'iya', 'yang', 'banyak', 'voucer', 'nya', 'bahkan', 'shopee', 'bayar', 'yang', 'gratis', 'ongkos kirim', 'rupiah', 'nya', 'aku', 'tidak_pernah', 'pakai', 'shopee', 'bayar', 'soal', 'nya']",aplikasi shopee tidak bisa gunain gratis ongkos kirim rupiah iya voucer nya shopee bayar gratis ongkos kirim rupiah nya tidak pernah pakai shopee bayar nya
"['sebal', 'voucer', 'konsumen', 'baru', 'tidak_bisa', 'di', 'pakai', 'kata', 'udh', 'di', 'pakai', 'padahal', 'saya', 'konsumen', 'baru', 'terus', 'yang', 'pakai', 'voucer', 'saya', 'siapa']",sebal voucer konsumen tidak bisa pakai udh pakai konsumen pakai voucer
"['saya', 'bagai', 'jual', 'kecewa', 'tari', 'saldo', 'lalu', 'bank', 'lain', 'selain', 'bank', 'tentu', 'lama', 'lebih', 'dari', 'satu', 'hari', 'padahal', 'teknologi', 'sudah', 'canggih', 'yang', 'masalah', 'tidak_bank', 'nya', 'tapi', 'sistem', 'di', 'shopeenya', 'karena', 'transfer', 'ke', 'bank', 'mana', 'sekarang', 'harus', 'realtime', 'gantung', 'shopeenya', 'mau', 'proses', 'atau', 'tidak_']",jual kecewa tari saldo bank bank teknologi canggih tidak bank nya sistem shopeenya transfer bank realtime gantung shopeenya proses tidak 
"['aplukasi', 'apa', 'sih', 'ini', 'suruh', 'buat', 'nama', 'uda', 'saya', 'tulis', 'nama', 'tapi', 'kata', 'tidak_tersedi', 'aplikasi', 'tolol', 'lebih baik', 'kalian', 'lebih', 'baik', 'tidak', 'usa', 'donwlod', 'saja', 'lebih baik', 'tidak', 'usa', 'ada', 'di', 'plastore', '', 'tolong', 'bapak', 'plastore', 'uinstal', 'saja', 'aplikasi', 'ini', '']",aplukasi sih suruh nama uda tulis nama tidak tersedi aplikasi tolol lebih baik usa donwlod lebih baik usa plastore  tolong plastore uinstal aplikasi 
"['makin', 'kesini', 'shoppe', 'makin', 'tidak_jelas', 'apa', 'kabanyakan', 'limit', 'baru', 'belanja', 'kali', 'udh', 'kena', 'limit', 'hari', 'limit', 'minggu']",kesini shoppe tidak jelas kabanyakan limit belanja kali udh kena limit limit minggu
"['shopee', 'sangat', 'memgecewakan', 'voucer', 'jambore', 'nya', 'sering', 'error', 'padahal', 'produk', 'sudah', 'penuh', 'syarat', 'apa', 'lagi', 'hai', 'kecewa', 'banget', 'kata', 'rupiah', 'terus', 'mau', 'check', 'keluar', 'bahkan', 'voucer', 'tidak_sah', 'aneh', 'banget']",shopee memgecewakan voucer jambore nya error produk penuh syarat hai kecewa banget rupiah check voucer tidak sah aneh banget
"['aplikasi', 'guna', 'bisa', 'akses', 'nomor', 'padahal', 'nomor', 'aku', 'masih', 'aktif', 'nomor', 'hari', 'aku', 'pakai', 'tapi', 'di', 'kirim', 'kode', 'otp', 'makassih', 'sangat', 'kecewa', 'sama', 'pihak', 'shoppy']",aplikasi akses nomor nomor aktif nomor pakai kirim kode otp makassih kecewa shoppy
"['saya', 'gamau', 'ganti', 'bintang', 'kecuali', 'shopee', 'sudah', 'kayak', 'dulu', 'tahu', 'tidak_sih', 'shopee', 'makin', 'pelit', 'gratis', 'ongkos kirim', 'minggu', 'cuman', 'kali', 'woy', 'kelen', 'becanda', 'sudah', 'gitu', 'sekarang', 'shopee', 'ga', 'bisa', 'milih', 'ekpedisi', 'saya', 'pilih', 'reguler', 'biar', 'cepat', 'sampai', 'saya', 'bayar', 'ongkos kirim', 'biar', 'cepat', 'sampai', 'bahkan', 'kasih', 'pedis', 'yang', 'paling', 'lama', 'main', 'kelen', 'ga', 'cantik', 'sayang', 'mentang', 'ekpedisi', 'itu', 'yang', 'paling', 'murah', 'itu', 'yang', 'kelen', 'kasih', 'heh', 'lawak', 'shopee']",gamau ganti bintang kecuali shopee kayak tidak sih shopee pelit gratis ongkos kirim minggu cuman kali woy kelen becanda gitu shopee ga milih ekpedisi pilih reguler biar cepat bayar ongkos kirim biar cepat kasih pedis main kelen ga cantik sayang mentang ekpedisi murah kelen kasih heh lawak shopee
"['sumpah', 'shopee', 'makin', 'lama', 'makin', 'gila', 'karena', 'saya', 'itu', 'habis', 'beli', 'seluler', 'baru', 'terus', 'saya', 'bikin', 'akun', 'gogel', 'baru', 'dan', 'no', 'seluler', 'baru', 'saya', 'daftar', 'shopee', 'untuk', 'beli', 'baju', 'batik', 'sama', 'cela', 'jeans', 'untuk', 'adik', 'sya', 'waktu', 'saya', 'cecaout', 'maaf', 'kode', 'voucer', 'ini', 'telah', 'di', 'guna', 'mohon', 'pakai', 'voucer', 'lain', 'lah', 'sya', 'kan', 'bingung', 'apa', 'ini', 'kok', 'harus', 'pakai', 'ongkos kirim', 'sih', 'padahal', 'kan', 'sya', 'guna', 'baru', 'hadeh', 'shopee', 'shopee', 'uang', 'melulu', 'pikir', 'kamu', 'akhir', 'nya', 'paksa', 'pakai', 'ongkos kirim', 'mahal', 'lagi', 'ongkirnya', 'sekitarran', 'ribu', 'kimak', 'kamu', 'shopee']",sumpah shopee gila habis beli seluler bikin akun gogel no seluler daftar shopee beli baju batik cela jeans adik sya cecaout maaf kode voucer mohon pakai voucer sya bingung pakai ongkos kirim sih sya hadeh shopee shopee uang melulu pikir nya paksa pakai ongkos kirim mahal ongkirnya sekitarran ribu kimak shopee
"['aplikasi', 'tipu', 'bilang', 'baru', 'pertama', 'kali', 'unduh', 'dapat', 'saldo', 'shopeepay', 'ehh', 'tahu', 'tahu', 'tidak_ada', 'dasar', 'aplikasi', 'tipu']",aplikasi tipu bilang kali unduh saldo shopeepay ehh tidak ada dasar aplikasi tipu
"['capee', 'pakai', 'shopee', 'lot', 'banget', 'padahal', 'aplikasi', 'lain', 'ga', 'lot', 'saya', 'kira', 'seluler', 'saya', 'atau', 'jaringan', 'yang', 'lot', 'tapi', 'pas', 'keluar', 'dari', 'shopee', 'lancar', 'banget', 'kecewa', 'tolong', 'baik', 'shopee', 'ga', 'seperti', 'dulu', 'lagi']",capee pakai shopee lot banget aplikasi ga lot seluler jaringan lot pas shopee lancar banget kecewa tolong shopee ga
